Organ,FTU Label in Uberon,FTU ID in Uberon,CL_ID,CL_Label_FTU,popv,celltypist_L1,celltypist_pkl,azimuth_L1,azimuth_L2,azimuth_L3,azimuth_L4,azimuth_L5
Lung,Alveolus of Lung,UBERON:0002299,CL:0009089,lung pericyte,False,False,False,True,True,True,True,True
Lung,Alveolus of Lung,UBERON:0002299,CL:0002062,type I pneumocyte,True,True,True,True,True,True,True,True
Lung,Alveolus of Lung,UBERON:0002299,CL:4028004,alveolar type 1 fibroblast cell,False,True,True,True,True,True,True,True
Lung,Alveolus of Lung,UBERON:0002299,CL:4033016,secondary crest myofibroblast,False,False,False,False,False,False,False,False
Lung,Alveolus of Lung,UBERON:0002299,CL:4028002,alveolar capillary type 1 endothelial cell,False,False,False,True,True,True,True,True
Pancreas,Intercalated Duct,UBERON:0014726,CL:1001433,epithelial cell of exocrine pancreas,False,False,False,False,False,False,False,False
Pancreas,Intercalated Duct,UBERON:0014726,CL:0002080,pancreatic centro-acinar cell,False,False,False,False,False,False,False,False
Pancreas,Intercalated Duct,UBERON:0014726,UBERON:0014726,intercalated duct of pancreas,False,False,False,False,False,False,False,False
Pancreas,Intercalated Duct,UBERON:0014726,UBERON:0001263,pancreatic acinus,False,False,False,False,False,False,False,False
Pancreas,Acinus,UBERON:0001263,CL:0002064,pancreatic acinar cell,True,True,True,True,True,True,True,True
Pancreas,Acinus,UBERON:0001263,CL:1000322,pancreatic goblet cell,False,False,False,False,False,False,False,False
Pancreas,Acinus,UBERON:0001263,CL:1001433,epithelial cell of exocrine pancreas,False,False,False,False,False,False,False,False
Pancreas,Acinus,UBERON:0001263,CL:0002080,pancreatic centro-acinar cell,False,False,False,False,False,False,False,False
Pancreas,Acinus,UBERON:0001263,,,False,False,False,False,False,False,False,False
Pancreas,Acinus,UBERON:0001263,UBERON:0014726,intercalated duct of pancreas,False,False,False,False,False,False,False,False
Pancreas,Islet of Langerhans,UBERON:0000006,CL:0000171,pancreatic A cell,True,True,True,True,True,True,True,True
Pancreas,Islet of Langerhans,UBERON:0000006,CL:0000169,type B pancreatic cell,True,True,True,True,True,True,True,True
Pancreas,Islet of Langerhans,UBERON:0000006,CL:0000173,pancreatic D cell,False,True,True,True,True,True,True,True
Pancreas,Islet of Langerhans,UBERON:0000006,CL:0002275,pancreatic PP cell,True,True,True,True,True,True,True,True
Pancreas,Islet of Langerhans,UBERON:0000006,CL:0002144,capillary endothelial cell,True,True,True,True,True,True,True,True
Pancreas,Islet of Langerhans,UBERON:0000006,CL:0000235,macrophage,True,True,True,True,True,True,True,True
Pancreas,Islet of Langerhans,UBERON:0000006,,,False,False,False,False,False,False,False,False
Prostate,Prostate Glandular Acinus,UBERON:0004179,CL:1000301,fibroblast of subepithelial connective tissue of prostatic gland,False,False,False,False,False,False,False,False
Prostate,Prostate Glandular Acinus,UBERON:0004179,CL:1000487,smooth muscle cell of prostate,False,False,False,False,False,False,False,False
Prostate,Prostate Glandular Acinus,UBERON:0004179,CL:1000299,fibroblast of connective tissue of prostate,False,False,False,False,False,False,False,False
Prostate,Prostate Glandular Acinus,UBERON:0004179,,,False,False,False,False,False,False,False,False
Prostate,Prostate Glandular Acinus,UBERON:0004179,CL:0002340,luminal cell of prostate epithelium,True,False,False,False,False,False,False,False
Prostate,Prostate Glandular Acinus,UBERON:0004179,CL:0002341,basal cell of prostate epithelium,True,False,False,False,False,False,False,False
Prostate,Prostate Glandular Acinus,UBERON:0004179,CL:0000359,vascular associated smooth muscle cell,True,False,False,False,False,False,False,False
Prostate,Prostate Glandular Acinus,UBERON:0004179,CL:0000669,pericyte,True,False,False,False,False,False,False,False
Skin,Dermal Papilla,UBERON:0001992,CL:0002620,skin fibroblast,False,False,False,False,False,False,False,False
Skin,Dermal Papilla,UBERON:0001992,CL:0000115,endothelial cell,True,True,True,False,False,False,False,False
Skin,Epidermal Ridge,UBERON:0013487,CL:0000649,prickle cell,False,False,False,False,False,False,False,False
Skin,Epidermal Ridge,UBERON:0013487,CL:0002457,epidermal Langerhans cell,False,True,True,False,False,False,False,False
Skin,Epidermal Ridge,UBERON:0013487,CL:0000646,basal cell,True,True,True,False,False,False,False,False
Skin,Epidermal Ridge,UBERON:0013487,CL:0000242,Merkel cell,False,False,False,False,False,False,False,False
Skin,Epidermal Ridge,UBERON:0013487,CL:1000458,melanocyte of skin,False,True,True,False,False,False,False,False
Small Intestine,Villus,UBERON:0001213,CL:0000623,natural killer cell,False,False,False,False,False,False,False,False
Small Intestine,Villus,UBERON:0001213,CL:0000057,fibroblast,True,False,False,False,False,False,False,False
Small Intestine,Villus,UBERON:0001213,CL:0009080,tuft cell of small intestine,True,False,False,False,False,False,False,False
Small Intestine,Villus,UBERON:0001213,CL:0000584,enterocyte,False,False,False,False,False,False,False,False
Small Intestine,Villus,UBERON:0001213,CL:0000097,mast cell,True,False,False,False,False,False,False,False
Small Intestine,Villus,UBERON:0001213,CL:1000324,duodenal goblet cell,False,False,False,False,False,False,False,False
Small Intestine,Villus,UBERON:0001213,CL:1000326,ileal goblet cell,False,False,False,False,False,False,False,False
Small Intestine,Villus,UBERON:0001213,CL:1000325,jejunal goblet cell,False,False,False,False,False,False,False,False
Small Intestine,Villus,UBERON:0001213,CL:0000186,myofibroblast,True,False,False,False,False,False,False,False
Small Intestine,Villus,UBERON:0001213,CL:0000786,plasma cell,True,False,False,False,False,False,False,False
Small Intestine,Villus,UBERON:0001213,CL:0000451,dendritic cell,True,False,False,False,False,False,False,False
Small Intestine,Villus,UBERON:0001213,CL:0000236,B cell,True,False,False,False,False,False,False,False
Small Intestine,Villus,UBERON:0001213,CL:0000771,eosinophil,False,False,False,False,False,False,False,False
Small Intestine,Villus,UBERON:0001213,CL:0001065,innate lymphoid cell,True,False,False,False,False,False,False,False
Small Intestine,Villus,UBERON:0001213,CL:0000163,endocrine cell,False,False,False,False,False,False,False,False
Small Intestine,Villus,UBERON:0001213,CL:0000775,neutrophil,True,False,False,False,False,False,False,False
Spleen,Red Pulp,UBERON:0001250,CL:0001055,"CD14-positive, CD16-low monocyte",False,False,False,False,False,False,False,False
Spleen,Red Pulp,UBERON:0001250,CL:0000442,follicular dendritic cell,False,False,False,False,False,False,False,False
Spleen,Red Pulp,UBERON:0001250,CL:0000980,plasmablast,False,True,True,False,False,False,False,False
Spleen,Red Pulp,UBERON:0001250,CL:0000775,neutrophil,True,True,True,False,False,False,False,False
Spleen,Red Pulp,UBERON:0001250,CL:0000877,splenic tingible body macrophage,False,False,False,False,False,False,False,False
Spleen,Red Pulp,UBERON:0001250,CL:0000872,splenic marginal zone macrophage,False,False,False,False,False,False,False,False
Spleen,Red Pulp,UBERON:0001250,CL:0000874,splenic red pulp macrophage,False,False,False,False,False,False,False,False
Spleen,Red Pulp,UBERON:0001250,CL:0001056,"dendritic cell, human",False,True,True,False,False,False,False,False
Spleen,Red Pulp,UBERON:0001250,CL:0000037,hematopoetic stem cell,True,True,True,False,False,False,False,False
Spleen,Red Pulp,UBERON:0001250,,reticular cell of splenic sinusoid,False,False,False,False,False,False,False,False
Spleen,White Pulp,UBERON:0001959,CL:0000876,splenic white pulp macrophage,False,False,False,False,False,False,False,False
Spleen,White Pulp,UBERON:0001959,,,False,False,False,False,False,False,False,False
Spleen,White Pulp,UBERON:0001959,,,False,False,False,False,False,False,False,False
Spleen,White Pulp,UBERON:0001959,CL:0000192,smooth muscle cell,True,True,True,False,False,False,False,False
Spleen,White Pulp,UBERON:0001959,CL:2000053,splenic endothelial cell,False,False,False,False,False,False,False,False
Spleen,White Pulp,UBERON:0001959,CL:0000499,stromal cell,True,True,True,False,False,False,False,False
