Organ	Organ_ID	FTU Label in Uberon	FTU ID in Uberon	CT Label in CL	CT ID in CL	CT Label in 2D Object
Large Intestine	http://purl.obolibrary.org/obo/UBERON_0000059	Crypt Of Lieberkuhn	UBERON:0001984	large intestine crypt goblet cell	CL:1000321	Goblet Cells
Large Intestine	http://purl.obolibrary.org/obo/UBERON_0000059	Crypt Of Lieberkuhn	UBERON:0001984	enterocyte of epithelium of large intestine	CL:0002071	Absorptive Cells
Large Intestine	http://purl.obolibrary.org/obo/UBERON_0000059	Crypt Of Lieberkuhn	UBERON:0001984	neuroendocrine cell	CL:0000165	Enteroendocrine Cells
Large Intestine	http://purl.obolibrary.org/obo/UBERON_0000059	Crypt Of Lieberkuhn	UBERON:0001984	intestinal crypt stem cell of large intestine	CL:0009016	Epithelial Stem Cells
Large Intestine	http://purl.obolibrary.org/obo/UBERON_0000059	Crypt Of Lieberkuhn	UBERON:0001984	intestinal tuft cell	CL:0019032	Tuft Cell
Liver	http://purl.obolibrary.org/obo/UBERON_0002107	Liver Lobule	UBERON:0004647	hepatic portal fibroblast	CL:0009100	Hepatic Portal Fibroblast
Liver	http://purl.obolibrary.org/obo/UBERON_0002107	Liver Lobule	UBERON:0004647	blood vessel smooth muscle cell	CL:0019018	Blood Vessel Smooth Muscle Cell
Liver	http://purl.obolibrary.org/obo/UBERON_0002107	Liver Lobule	UBERON:0004647	endothelial cell of artery	CL:1000413	Endothelial Cell
Liver	http://purl.obolibrary.org/obo/UBERON_0002107	Liver Lobule	UBERON:0004647	stratified cuboidal epithelial cell	CL:0000241	Stratified Cuboidal Epithelial Cell
Liver	http://purl.obolibrary.org/obo/UBERON_0002107	Liver Lobule	UBERON:0004647	columnar/cuboidal epithelial cell	CL:0000075	Columnar Cuboidal epithelial Cell
Liver	http://purl.obolibrary.org/obo/UBERON_0002107	Liver Lobule	UBERON:0004647	vein endothelial cell	CL:0002543	Vein Endothelial Cell
Liver	http://purl.obolibrary.org/obo/UBERON_0002107	Liver Lobule	UBERON:0004647	Hepatic oval stem cell	CL:0002196	Hepatic Progenitor Cell
Liver	http://purl.obolibrary.org/obo/UBERON_0002107	Liver Lobule	UBERON:0004647	endothelial cell of hepatic sinusoid	CL:1000398	Endothelial Cell Of Hepatic Sinusoid
Liver	http://purl.obolibrary.org/obo/UBERON_0002107	Liver Lobule	UBERON:0004647	hepatic stellate cell	CL:0000632	Hepatic Stellate Cell
Liver	http://purl.obolibrary.org/obo/UBERON_0002107	Liver Lobule	UBERON:0004647	Kupffer Cell	CL:0000091	Kupffer Cell
Liver	http://purl.obolibrary.org/obo/UBERON_0002107	Liver Lobule	UBERON:0004647	hepatocyte	CL:0000182	Hepatocyte
Lung	http://purl.obolibrary.org/obo/UBERON_0002048	Bronchial Submucosal Gland	UBERON 8410043	airway submucosal gland duct ciliated cell	CL:4033055	Ciliated Cell Of Submucosal Gland
Lung	http://purl.obolibrary.org/obo/UBERON_0002048	Bronchial Submucosal Gland	UBERON 8410043	airway submucosal gland duct basal cell	CL:4033024	Basal Cell Of Submucosal Gland
Lung	http://purl.obolibrary.org/obo/UBERON_0002048	Bronchial Submucosal Gland	UBERON 8410043	mucus secreting cell of bronchus submucosal gland	CL:4033022	Mucus Cell
Lung	http://purl.obolibrary.org/obo/UBERON_0002048	Bronchial Submucosal Gland	UBERON 8410043	airway submucosal gland collecting duct epithelial cell	CL:4033023	Epithelial cell Of Submucosal Gland
Lung	http://purl.obolibrary.org/obo/UBERON_0002048	Bronchial Submucosal Gland	UBERON 8410043	serous secreting cell of bronchus submucosal gland	CL:4033005	Serous Cell
Lung	http://purl.obolibrary.org/obo/UBERON_0002048	Bronchial Submucosal Gland	UBERON 8410043	myoepithelial cell of bronchus submucosal gland	CL:4033003	Myoepithelial cell
Lung	http://purl.obolibrary.org/obo/UBERON_0002048	Alveolus of Lung	UBERON:0002299	type II pneumocyte	CL:0002063	Type II Pneumocyte
Lung	http://purl.obolibrary.org/obo/UBERON_0002048	Alveolus of Lung	UBERON:0002299	lung pericyte	CL:0009089	Pericyte
Lung	http://purl.obolibrary.org/obo/UBERON_0002048	Alveolus of Lung	UBERON:0002299	type I pneumocyte	CL:0002062	Type I Pneumocyte
